Point Number , Temperature ,Uncertainty
0,30.123341,0.034175997
1,29.947347,0.033975027
2,30.211337,0.034276481
3,29.912149,0.033934834
4,30.211337,0.034276481
5,30.211337,0.034276481
6,29.841751,0.033854446
7,30.176139,0.034236288
8,29.824152,0.033834349
9,29.788953,0.033794155
10,29.806553,0.033814253
11,29.788953,0.033794155
12,29.736155,0.033733864
13,29.700957,0.033693671
14,30.000145,0.034035318
15,29.700957,0.033693671
16,30.035344,0.034075512
17,29.683357,0.033673574
18,29.841751,0.033854446
19,29.61296,0.033593187
20,29.648159,0.033633381
21,29.982546,0.034015221
22,29.595361,0.03357309
23,29.577761,0.033552993
24,29.912149,0.033934834
25,29.753755,0.033753962
26,29.841751,0.033854446
27,29.859351,0.033874543
28,29.489765,0.033452509
29,29.472165,0.033432411
30,29.806553,0.033814253
31,29.419367,0.033372121
32,29.718556,0.033713768
33,29.788953,0.033794155
34,29.736155,0.033733864
35,29.366569,0.03331183
36,29.34897,0.033291734
37,29.331371,0.033271637
38,29.595361,0.03357309
39,29.313772,0.033251541
40,29.278573,0.033211347
41,29.648159,0.033633381
42,29.577761,0.033552993
43,29.208176,0.03313096
44,29.208176,0.03313096
45,29.190576,0.033110863
46,29.577761,0.033552993
47,29.172977,0.033090766
48,29.155378,0.03307067
49,29.155378,0.03307067
50,29.436967,0.033392219
51,29.472165,0.033432411
52,29.067381,0.032970185
53,29.401768,0.033352024
54,29.34897,0.033291734
55,29.401768,0.033352024
56,28.996984,0.032889798
57,29.366569,0.03331183
58,28.996984,0.032889798
59,28.979384,0.032869701
60,29.296172,0.033231443
61,29.225775,0.033151057
62,28.944186,0.032829508
63,29.190576,0.033110863
64,28.891388,0.032769218
65,29.049782,0.032950089
66,28.856189,0.032729024
67,28.856189,0.032729024
68,29.243374,0.033171153
69,29.225775,0.033151057
70,28.82099,0.03268883
71,28.750593,0.032608443
72,28.785792,0.032648637
73,29.172977,0.033090766
74,29.190576,0.033110863
75,29.10258,0.033010379
76,29.278573,0.033211347
77,29.014583,0.032909895
78,29.190576,0.033110863
79,28.662596,0.032507959
80,28.996984,0.032889798
81,28.662596,0.032507959
82,28.891388,0.032769218
83,28.873788,0.03274912
84,28.5746,0.032407476
85,28.83859,0.032708927
86,28.926586,0.032809411
87,28.539401,0.032367282
88,28.750593,0.032608443
89,28.504202,0.032327089
90,28.873788,0.03274912
91,28.627398,0.032467766
92,28.469004,0.032286896
93,28.451404,0.032266798
94,28.715394,0.032568249
95,28.785792,0.032648637
96,28.732994,0.032588347
97,28.381007,0.032186412
98,28.680196,0.032528057
99,28.31061,0.032106026
100,28.345808,0.032146218
101,28.697795,0.032548153
102,28.328209,0.032126122
103,28.644997,0.032487863
104,28.627398,0.032467766
105,28.275411,0.032065832
106,28.557,0.032387379
107,28.240213,0.032025639
108,28.240213,0.032025639
109,28.557,0.032387379
110,28.187415,0.031965349
111,28.504202,0.032327089
112,28.486603,0.032306992
113,28.433805,0.032246702
114,28.398606,0.032206508
115,28.31061,0.032106026
116,28.416206,0.032226606
117,28.398606,0.032206508
118,28.381007,0.032186412
119,28.205014,0.031985446
120,28.345808,0.032146218
121,28.345808,0.032146218
122,28.029021,0.031784479
123,27.993822,0.031744286
124,28.328209,0.032126122
125,27.958623,0.031704092
126,27.958623,0.031704092
127,27.923425,0.031663899
128,27.853027,0.031583512
129,27.888226,0.031623706
130,28.275411,0.032065832
131,28.152216,0.031925155
132,27.870627,0.03160361
133,28.205014,0.031985446
134,28.117017,0.031884962
135,27.78263,0.031503126
136,27.800229,0.031523222
137,27.78263,0.031503126
138,28.117017,0.031884962
139,27.747431,0.031462932
140,27.747431,0.031462932
141,27.712233,0.03142274
142,27.729832,0.031442836
143,27.694633,0.031402643
144,27.976223,0.031724189
145,27.993822,0.031744286
