Point Number , Temperature ,Uncertainty
0,49.236237,0.056002047
1,49.588225,0.056404009
2,49.16584,0.055921655
3,49.14824,0.055901556
4,49.465029,0.056263322
5,49.042644,0.055780968
6,49.394632,0.05618293
7,49.394632,0.05618293
8,48.989846,0.055720673
9,48.937048,0.055660379
10,49.306635,0.05608244
11,49.183439,0.055941752
12,49.16584,0.055921655
13,48.796253,0.055499595
14,49.14824,0.055901556
15,48.761054,0.055459398
16,48.708256,0.055399104
17,49.025045,0.05576087
18,48.673057,0.055358907
19,48.972247,0.055700576
20,48.567461,0.055238319
21,48.88425,0.055600085
22,48.567461,0.055238319
23,48.532262,0.055198123
24,48.479464,0.055137829
25,48.849051,0.055559889
26,48.426666,0.055077535
27,48.743455,0.0554393
28,48.356269,0.054997143
29,48.338669,0.054977044
30,48.60266,0.055278516
31,48.285871,0.05491675
32,48.233073,0.054856456
33,48.233073,0.054856456
34,48.549862,0.055218222
35,48.127477,0.054735868
36,48.444265,0.055097632
37,48.426666,0.055077535
38,48.074679,0.054675574
39,48.004281,0.054595181
40,48.004281,0.054595181
41,47.969082,0.054554984
42,48.215474,0.054836358
43,47.898685,0.054474593
44,47.881086,0.054454495
45,47.845887,0.054414299
46,47.828287,0.0543942
47,48.145076,0.054755965
48,47.75789,0.054313808
49,48.109877,0.054715769
50,48.03948,0.054635377
51,48.004281,0.054595181
52,47.916284,0.05449469
53,47.599496,0.054132926
54,47.599496,0.054132926
55,47.564297,0.05409273
56,47.828287,0.0543942
57,47.793089,0.054354005
58,47.828287,0.0543942
59,47.810688,0.054374102
60,47.423502,0.053931945
61,47.705092,0.054253514
62,47.705092,0.054253514
63,47.317906,0.053811357
64,47.705092,0.054253514
65,47.265108,0.053751063
66,47.634694,0.054173121
67,47.19471,0.05367067
68,47.141912,0.053610376
69,47.247508,0.053730964
70,47.124313,0.053590279
71,47.405903,0.053911848
72,47.036316,0.053489788
73,47.405903,0.053911848
74,47.388303,0.053891749
75,46.965918,0.053409396
76,46.91312,0.053349102
77,46.895521,0.053329004
78,46.895521,0.053329004
79,46.860322,0.053288808
80,46.842723,0.05326871
81,47.159511,0.053630474
82,47.106713,0.05357018
83,46.737127,0.053148122
84,46.719527,0.053128023
85,47.053915,0.053509886
86,46.63153,0.053027533
87,46.983518,0.053429494
88,46.91312,0.053349102
89,46.596332,0.052987338
90,46.508335,0.052886848
91,46.490735,0.052866749
92,46.473136,0.052846651
93,46.437937,0.052806455
94,46.420338,0.052786357
95,46.737127,0.053148122
96,46.737127,0.053148122
97,46.701928,0.053107926
98,46.719527,0.053128023
99,46.297142,0.052645671
100,46.64913,0.053047632
101,46.191546,0.052525083
102,46.455537,0.052826554
103,46.138748,0.052464789
104,46.63153,0.053027533
105,46.121149,0.052444692
106,46.050751,0.052364299
107,46.033152,0.052344201
108,46.015552,0.052324103
109,46.332341,0.052685867
110,46.279543,0.052625573
111,45.909956,0.052203515
112,45.857158,0.052143221
113,45.874758,0.05216332
114,45.821959,0.052103025
115,45.786761,0.05206283
116,45.80436,0.052082927
117,45.751562,0.052022633
118,45.733963,0.052002536
119,46.050751,0.052364299
120,45.962754,0.052263809
121,45.927556,0.052223614
122,45.945155,0.052243711
123,45.892357,0.052183417
124,45.557969,0.051801556
125,45.557969,0.051801556
126,45.839559,0.052123124
127,45.469972,0.051701065
128,45.769161,0.052042731
129,45.698764,0.05196234
130,45.364376,0.051580478
131,45.698764,0.05196234
132,45.839559,0.052123124
133,45.276379,0.051479988
134,45.293978,0.051500085
135,45.276379,0.051479988
136,45.24118,0.051439792
137,45.188382,0.051379498
138,45.153184,0.051339303
139,45.100385,0.051279008
140,45.487572,0.051721164
141,45.065187,0.051238813
142,45.047587,0.051218714
143,45.012389,0.051178519
144,45.346777,0.05156038
145,45.153184,0.051339303
146,44.941991,0.051098126
147,44.906792,0.05105793
148,45.117985,0.051299106
149,44.853994,0.050997636
150,44.836395,0.050977539
151,44.783597,0.050917245
152,45.082786,0.05125891
153,44.730799,0.050856951
154,44.6956,0.050816755
155,44.678001,0.050796658
156,44.678001,0.050796658
157,45.012389,0.051178519
158,44.607603,0.050716265
159,44.572405,0.05067607
160,44.853994,0.050997636
161,44.502007,0.050595678
162,44.853994,0.050997636
163,44.449209,0.050535384
164,44.765998,0.050897148
165,44.396411,0.05047509
166,44.6956,0.050816755
167,44.343613,0.050414797
168,44.642802,0.050756461
169,44.449209,0.050535384
170,44.255616,0.050314307
171,44.537206,0.050635874
172,44.343613,0.050414797
173,44.185219,0.050233916
174,44.13242,0.050173621
175,44.13242,0.050173621
176,44.13242,0.050173621
177,44.43161,0.050515286
178,44.343613,0.050414797
179,44.343613,0.050414797
180,44.308414,0.0503746
181,44.290815,0.050354503
182,44.255616,0.050314307
183,44.202818,0.050254013
184,44.255616,0.050314307
185,43.86843,0.049872152
186,44.220417,0.050274111
187,43.815632,0.049811859
188,43.762834,0.049751565
189,43.745235,0.049731468
190,44.062023,0.050093229
191,43.657238,0.049630978
192,43.674837,0.049651075
193,43.622039,0.049590782
194,43.569241,0.049530488
195,43.938828,0.049952545
196,43.534042,0.049490292
197,43.850831,0.049852055
198,43.498843,0.049450096
199,43.463645,0.049409901
200,43.974026,0.04999274
201,43.393247,0.049329509
202,43.710036,0.049691271
203,43.358049,0.049289314
204,43.358049,0.049289314
205,43.32285,0.049249118
206,43.657238,0.049630978
207,43.639638,0.049610879
208,43.252452,0.049168725
209,43.199654,0.049108432
210,43.551642,0.049510391
211,43.164456,0.049068237
212,43.146856,0.049048138
213,43.129257,0.049028041
214,43.094058,0.048987845
215,43.058859,0.048947649
216,43.182055,0.049088334
217,43.023661,0.048907454
218,42.988462,0.048867258
219,42.953263,0.048827061
220,43.199654,0.049108432
221,42.882866,0.04874667
222,42.865267,0.048726573
223,43.199654,0.049108432
224,43.146856,0.049048138
225,42.77727,0.048626083
226,43.023661,0.048907454
227,43.094058,0.048987845
228,43.076459,0.048967747
229,42.706872,0.048545691
230,43.04126,0.048927551
231,43.023661,0.048907454
232,42.583677,0.048405007
233,42.601276,0.048425104
234,42.566077,0.048384908
235,42.548478,0.048364811
236,42.847667,0.048706474
237,42.49568,0.048304517
238,42.794869,0.048646181
239,42.812468,0.048666278
240,42.742071,0.048585887
241,42.372484,0.048163832
242,42.354885,0.048143734
243,42.689273,0.048525594
244,42.284488,0.048063343
245,42.319686,0.048103538
246,42.478081,0.04828442
247,42.548478,0.048364811
248,42.566077,0.048384908
249,42.566077,0.048384908
250,42.143693,0.047902561
251,42.460481,0.048264321
252,42.425283,0.048224126
253,42.460481,0.048264321
254,42.073295,0.047822169
255,42.21409,0.047982951
256,42.002898,0.047741778
257,42.038097,0.047781974
258,41.967699,0.047701582
259,41.967699,0.047701582
260,42.249289,0.048023147
261,42.266888,0.048043245
262,41.862103,0.047580995
263,41.862103,0.047580995
264,42.196491,0.047962854
265,41.826904,0.047540799
266,42.178892,0.047942757
267,41.738908,0.047440311
268,42.143693,0.047902561
269,41.721308,0.047420212
270,41.985299,0.04772168
271,42.090895,0.047842267
272,41.932501,0.047661387
273,41.633311,0.047319723
274,41.615712,0.047299625
275,41.967699,0.047701582
276,41.914901,0.047641288
277,41.914901,0.047641288
278,41.527715,0.047199136
279,41.738908,0.047440311
280,41.457318,0.047118745
281,41.457318,0.047118745
282,41.439719,0.047098648
283,41.439719,0.047098648
284,41.40452,0.047058452
285,41.38692,0.047038353
286,41.721308,0.047420212
287,41.316523,0.046957963
288,41.316523,0.046957963
289,41.615712,0.047299625
290,41.281324,0.046917767
291,41.510116,0.047179039
292,41.228526,0.046857473
293,41.598113,0.047279528
294,41.158129,0.046777083
295,41.158129,0.046777083
296,41.38692,0.047038353
297,41.492517,0.047158941
298,41.457318,0.047118745
299,41.12293,0.046736887
300,41.070132,0.046676594
301,41.017334,0.0466163
302,41.017334,0.0466163
303,41.334122,0.04697806
304,41.298924,0.046937865
305,40.964536,0.046556007
306,41.298924,0.046937865
307,40.946937,0.04653591
308,41.263725,0.046897669
309,41.228526,0.046857473
310,40.85894,0.04643542
311,41.228526,0.046857473
312,40.84134,0.046415322
313,41.175728,0.04679718
314,40.806142,0.046375127
315,41.087731,0.046696691
316,40.999735,0.046596203
317,40.718145,0.046274638
318,40.999735,0.046596203
319,40.682946,0.046234442
320,40.665347,0.046214345
321,40.665347,0.046214345
322,40.630148,0.046174149
323,40.982135,0.046576104
324,40.594949,0.046133953
325,40.57735,0.046113856
326,40.559751,0.046093758
327,40.559751,0.046093758
328,40.524552,0.046053563
329,40.85894,0.04643542
330,40.524552,0.046053563
331,40.489353,0.046013367
332,40.454155,0.045973172
333,40.471754,0.045993269
334,40.735744,0.046294735
335,40.735744,0.046294735
336,40.418956,0.045932976
337,40.401357,0.045912879
338,40.383757,0.04589278
339,40.57735,0.046113856
340,40.647748,0.046194247
341,40.700546,0.046254541
342,40.31336,0.04581239
343,40.31336,0.04581239
344,40.29576,0.045792291
345,40.278161,0.045772194
346,40.630148,0.046174149
347,40.57735,0.046113856
348,40.383757,0.04589278
349,40.57735,0.046113856
350,40.559751,0.046093758
351,40.190164,0.045671705
352,40.154966,0.04563151
353,40.137366,0.045611412
354,40.137366,0.045611412
355,40.119767,0.045591314
356,40.471754,0.045993269
357,40.084568,0.045551119
358,40.084568,0.045551119
359,40.084568,0.045551119
360,40.04937,0.045510924
361,40.04937,0.045510924
362,40.383757,0.04589278
363,40.03177,0.045490825
364,40.383757,0.04589278
365,40.366158,0.045872683
366,40.330959,0.045832487
367,40.31336,0.04581239
368,39.978972,0.045430532
369,39.978972,0.045430532
370,40.207764,0.045691803
371,40.242962,0.045731998
372,40.278161,0.045772194
373,39.908575,0.045350142
374,40.278161,0.045772194
375,39.873376,0.045309946
376,40.207764,0.045691803
377,39.838177,0.04526975
378,39.855777,0.045289849
379,40.242962,0.045731998
380,40.190164,0.045671705
381,39.838177,0.04526975
382,39.785379,0.045209457
383,40.154966,0.04563151
384,40.154966,0.04563151
385,40.119767,0.045591314
386,40.119767,0.045591314
387,39.76778,0.04518936
388,39.785379,0.045209457
389,40.04937,0.045510924
390,39.732581,0.045149164
391,39.838177,0.04526975
392,40.014171,0.045470728
393,39.820578,0.045249653
394,39.697382,0.045108968
395,40.014171,0.045470728
396,40.066969,0.045531021
397,39.679783,0.045088871
398,40.066969,0.045531021
399,39.662184,0.045068774
400,39.855777,0.045289849
401,39.978972,0.045430532
402,39.626985,0.045028578
403,39.961373,0.045410435
404,39.961373,0.045410435
405,39.996571,0.04545063
406,39.873376,0.045309946
407,39.609386,0.045008481
408,39.750181,0.045169263
409,39.591786,0.044988382
410,39.609386,0.045008481
411,39.521389,0.044907992
412,39.591786,0.044988382
413,39.873376,0.045309946
414,39.556588,0.044948188
415,39.855777,0.045289849
416,39.873376,0.045309946
417,39.538988,0.044928089
418,39.556588,0.044948188
419,39.908575,0.045350142
420,39.662184,0.045068774
421,39.890975,0.045330043
422,39.873376,0.045309946
423,39.521389,0.044907992
424,39.521389,0.044907992
425,39.50379,0.044887895
426,39.521389,0.044907992
427,39.521389,0.044907992
428,39.48619,0.044867796
429,39.873376,0.045309946
430,39.48619,0.044867796
431,39.521389,0.044907992
432,39.820578,0.045249653
433,39.785379,0.045209457
434,39.521389,0.044907992
435,39.820578,0.045249653
436,39.820578,0.045249653
437,39.48619,0.044867796
438,39.48619,0.044867796
439,39.48619,0.044867796
440,39.820578,0.045249653
441,39.732581,0.045149164
442,39.76778,0.04518936
443,39.450992,0.044827601
444,39.48619,0.044867796
445,39.802979,0.045229556
446,39.855777,0.045289849
447,39.785379,0.045209457
448,39.450992,0.044827601
449,39.468591,0.044847699
450,39.450992,0.044827601
451,39.48619,0.044867796
452,39.450992,0.044827601
453,39.48619,0.044867796
454,39.802979,0.045229556
455,39.820578,0.045249653
456,39.855777,0.045289849
457,39.750181,0.045169263
458,39.838177,0.04526975
459,39.855777,0.045289849
460,39.468591,0.044847699
461,39.450992,0.044827601
462,39.574187,0.044968285
463,39.50379,0.044887895
464,39.48619,0.044867796
465,39.785379,0.045209457
466,39.468591,0.044847699
467,39.48619,0.044867796
468,39.873376,0.045309946
469,39.697382,0.045108968
470,39.820578,0.045249653
471,39.468591,0.044847699
472,39.48619,0.044867796
473,39.468591,0.044847699
474,39.48619,0.044867796
475,39.838177,0.04526975
476,39.48619,0.044867796
477,39.855777,0.045289849
478,39.50379,0.044887895
479,39.48619,0.044867796
480,39.48619,0.044867796
481,39.468591,0.044847699
482,39.873376,0.045309946
483,39.890975,0.045330043
484,39.521389,0.044907992
485,39.926174,0.045370239
486,39.873376,0.045309946
487,39.521389,0.044907992
488,39.890975,0.045330043
489,39.873376,0.045309946
490,39.538988,0.044928089
491,39.873376,0.045309946
492,39.556588,0.044948188
493,39.538988,0.044928089
494,39.591786,0.044988382
495,39.591786,0.044988382
496,39.609386,0.045008481
497,39.574187,0.044968285
498,39.890975,0.045330043
499,39.996571,0.04545063
500,39.961373,0.045410435
501,39.609386,0.045008481
502,39.591786,0.044988382
503,39.943773,0.045390337
504,40.066969,0.045531021
505,39.626985,0.045028578
506,39.609386,0.045008481
507,40.03177,0.045490825
508,40.03177,0.045490825
509,39.961373,0.045410435
510,39.943773,0.045390337
511,39.996571,0.04545063
512,40.066969,0.045531021
513,39.697382,0.045108968
514,39.697382,0.045108968
515,39.697382,0.045108968
516,39.750181,0.045169263
517,39.732581,0.045149164
518,39.750181,0.045169263
519,40.066969,0.045531021
520,39.714982,0.045129067
521,39.76778,0.04518936
522,39.750181,0.045169263
523,40.137366,0.045611412
524,39.76778,0.04518936
525,40.102168,0.045571217
526,39.802979,0.045229556
527,40.190164,0.045671705
528,40.102168,0.045571217
529,39.802979,0.045229556
530,40.137366,0.045611412
531,39.855777,0.045289849
532,39.873376,0.045309946
533,39.855777,0.045289849
534,39.890975,0.045330043
535,39.890975,0.045330043
536,40.260562,0.045752097
537,39.926174,0.045370239
538,39.908575,0.045350142
539,39.943773,0.045390337
540,39.926174,0.045370239
541,39.908575,0.045350142
542,40.330959,0.045832487
543,39.978972,0.045430532
544,39.996571,0.04545063
545,40.31336,0.04581239
546,40.330959,0.045832487
547,39.996571,0.04545063
548,40.03177,0.045490825
549,40.383757,0.04589278
550,40.04937,0.045510924
551,40.084568,0.045551119
552,40.04937,0.045510924
553,40.436555,0.045953073
554,40.119767,0.045591314
555,40.102168,0.045571217
556,40.436555,0.045953073
557,40.524552,0.046053563
558,40.119767,0.045591314
559,40.154966,0.04563151
560,40.172565,0.045651608
561,40.172565,0.045651608
562,40.190164,0.045671705
563,40.770943,0.046334931
564,40.57735,0.046113856
565,40.225363,0.045711901
566,40.559751,0.046093758
567,40.57735,0.046113856
568,40.260562,0.045752097
569,40.647748,0.046194247
570,40.278161,0.045772194
571,40.31336,0.04581239
572,40.366158,0.045872683
573,40.366158,0.045872683
574,40.383757,0.04589278
575,40.383757,0.04589278
576,40.753344,0.046314834
577,40.418956,0.045932976
578,40.788542,0.046355029
579,40.682946,0.046234442
580,40.436555,0.045953073
581,40.454155,0.045973172
582,40.489353,0.046013367
583,40.506953,0.046033465
584,40.894139,0.046475616
585,40.524552,0.046053563
586,40.559751,0.046093758
587,40.559751,0.046093758
588,40.876539,0.046455518
589,40.612549,0.046154052
590,40.753344,0.046314834
591,40.946937,0.04653591
592,40.647748,0.046194247
593,40.964536,0.046556007
594,40.647748,0.046194247
595,40.85894,0.04643542
596,40.665347,0.046214345
597,41.052533,0.046656496
598,40.753344,0.046314834
599,41.052533,0.046656496
600,40.788542,0.046355029
601,40.788542,0.046355029
602,40.788542,0.046355029
603,40.84134,0.046415322
604,40.806142,0.046375127
605,40.876539,0.046455518
606,40.85894,0.04643542
607,40.929337,0.046515811
608,40.894139,0.046475616
609,41.316523,0.046957963
610,41.263725,0.046897669
611,40.964536,0.046556007
612,41.334122,0.04697806
613,41.193328,0.046817279
614,41.017334,0.0466163
615,41.38692,0.047038353
616,41.034933,0.046636398
617,41.369321,0.047018256
618,41.474917,0.047138843
619,41.105331,0.046716789
620,41.492517,0.047158941
621,41.140529,0.046756984
622,41.68611,0.047380017
623,41.158129,0.046777083
624,41.510116,0.047179039
625,41.510116,0.047179039
626,41.228526,0.046857473
627,41.281324,0.046917767
628,41.316523,0.046957963
629,41.281324,0.046917767
630,41.633311,0.047319723
631,41.66851,0.047359919
632,41.615712,0.047299625
633,41.774106,0.047480506
634,41.650911,0.047339821
635,41.439719,0.047098648
636,41.457318,0.047118745
637,41.439719,0.047098648
638,41.510116,0.047179039
639,41.879702,0.047601092
640,41.527715,0.047199136
641,41.527715,0.047199136
642,41.562914,0.047239332
643,41.580513,0.047259429
644,41.9501,0.047681484
645,41.809305,0.047520702
646,42.020497,0.047761875
647,41.703709,0.047400115
648,41.68611,0.047380017
649,41.703709,0.047400115
650,41.844504,0.047560897
651,41.756507,0.047460408
652,41.738908,0.047440311
653,42.143693,0.047902561
654,42.143693,0.047902561
655,41.826904,0.047540799
656,41.862103,0.047580995
657,41.879702,0.047601092
658,42.21409,0.047982951
659,42.249289,0.048023147
660,41.932501,0.047661387
661,41.967699,0.047701582
662,42.319686,0.048103538
663,41.985299,0.04772168
664,42.020497,0.047761875
665,42.390084,0.04818393
666,42.055696,0.047802071
667,42.126093,0.047882462
668,42.126093,0.047882462
669,42.530879,0.048344713
670,42.178892,0.047942757
671,42.21409,0.047982951
672,42.548478,0.048364811
673,42.23169,0.04800305
674,42.566077,0.048384908
675,42.583677,0.048405007
676,42.583677,0.048405007
677,42.636475,0.0484653
678,42.671674,0.048505496
679,42.706872,0.048545691
680,42.372484,0.048163832
681,42.407683,0.048204028
682,42.460481,0.048264321
683,42.830068,0.048686377
684,42.513279,0.048324615
685,42.478081,0.04828442
686,42.935664,0.048806964
687,42.865267,0.048726573
688,42.601276,0.048425104
689,42.794869,0.048646181
690,42.618875,0.048445202
691,42.636475,0.0484653
692,42.671674,0.048505496
693,42.724472,0.04856579
694,42.742071,0.048585887
695,43.076459,0.048967747
696,43.094058,0.048987845
697,43.146856,0.049048138
698,42.812468,0.048666278
699,42.812468,0.048666278
700,42.865267,0.048726573
701,43.287651,0.049208921
702,43.217254,0.04912853
703,43.270052,0.049188824
704,43.023661,0.048907454
705,43.375648,0.049309411
706,42.988462,0.048867258
707,43.04126,0.048927551
708,43.410847,0.049349607
709,43.076459,0.048967747
710,43.498843,0.049450096
711,43.146856,0.049048138
712,43.481244,0.049429998
713,43.199654,0.049108432
714,43.252452,0.049168725
715,43.234853,0.049148628
716,43.516443,0.049470194
717,43.287651,0.049208921
718,43.60444,0.049570684
719,43.674837,0.049651075
720,43.358049,0.049289314
721,43.428446,0.049369705
722,43.710036,0.049691271
723,43.446045,0.049389802
724,43.762834,0.049751565
725,43.780433,0.049771663
726,43.86843,0.049872152
727,43.569241,0.049530488
728,43.58684,0.049550586
729,43.58684,0.049550586
730,43.956427,0.049972642
731,43.639638,0.049610879
732,43.674837,0.049651075
733,44.079622,0.050113327
734,43.991626,0.050012838
735,44.114821,0.050153523
736,43.938828,0.049952545
737,43.815632,0.049811859
738,44.044424,0.050073132
739,43.86843,0.049872152
740,43.886029,0.04989225
741,43.938828,0.049952545
742,43.938828,0.049952545
743,43.974026,0.04999274
744,43.991626,0.050012838
745,44.361212,0.050434894
746,44.41401,0.050495188
747,44.079622,0.050113327
748,44.097222,0.050133426
749,44.43161,0.050515286
750,44.519606,0.050615775
751,44.202818,0.050254013
752,44.255616,0.050314307
753,44.273215,0.050334404
754,44.273215,0.050334404
755,44.290815,0.050354503
756,44.607603,0.050716265
757,44.361212,0.050434894
758,44.748398,0.050877049
759,44.43161,0.050515286
760,44.449209,0.050535384
761,44.818796,0.050957441
762,44.502007,0.050595678
763,44.906792,0.05105793
764,44.572405,0.05067607
765,44.572405,0.05067607
766,44.607603,0.050716265
767,44.607603,0.050716265
768,45.065187,0.051238813
769,44.6956,0.050816755
770,44.713199,0.050836853
771,44.783597,0.050917245
772,45.135584,0.051319204
773,45.153184,0.051339303
774,44.818796,0.050957441
775,45.205982,0.051399596
776,44.889193,0.051037833
777,44.924392,0.051078029
778,44.941991,0.051098126
779,45.293978,0.051500085
780,44.994789,0.05115842
781,45.399575,0.051620674
782,45.346777,0.05156038
783,45.100385,0.051279008
784,45.135584,0.051319204
785,45.153184,0.051339303
786,45.698764,0.05196234
787,45.205982,0.051399596
788,45.223581,0.051419694
789,45.25878,0.05145989
790,45.311578,0.051520184
791,45.329177,0.051540282
792,45.645966,0.051902046
793,45.751562,0.052022633
794,45.54037,0.051781458
795,45.434773,0.051660869
796,45.469972,0.051701065
797,45.487572,0.051721164
798,45.945155,0.052243711
799,45.874758,0.05216332
800,45.557969,0.051801556
801,45.610767,0.051861849
802,45.628366,0.051881947
803,45.681165,0.051942242
804,46.015552,0.052324103
805,46.138748,0.052464789
806,45.769161,0.052042731
807,45.821959,0.052103025
808,45.839559,0.052123124
809,46.209146,0.052545182
810,45.874758,0.05216332
811,46.279543,0.052625573
812,45.945155,0.052243711
813,46.279543,0.052625573
814,45.997953,0.052304005
815,46.033152,0.052344201
816,46.033152,0.052344201
817,46.420338,0.052786357
818,46.138748,0.052464789
819,46.156347,0.052484887
820,46.701928,0.053107926
821,46.543534,0.052927044
822,46.244344,0.052585377
823,46.279543,0.052625573
824,46.613931,0.053007436
825,46.613931,0.053007436
826,46.34994,0.052705965
827,46.402739,0.05276626
828,46.437937,0.052806455
829,46.437937,0.052806455
830,46.473136,0.052846651
831,46.508335,0.052886848
832,46.508335,0.052886848
833,46.965918,0.053409396
834,46.578732,0.052967239
835,46.63153,0.053027533
836,46.666729,0.05306773
837,46.684328,0.053087827
838,46.860322,0.053288808
839,46.754726,0.05316822
840,46.93072,0.0533692
841,46.807524,0.053228514
842,46.842723,0.05326871
843,46.877922,0.053308906
844,47.282707,0.053771161
845,47.282707,0.053771161
846,46.965918,0.053409396
847,46.983518,0.053429494
848,47.036316,0.053489788
849,47.564297,0.05409273
850,47.370704,0.053871651
851,47.106713,0.05357018
852,47.4763,0.053992239
853,47.19471,0.05367067
854,47.19471,0.05367067
855,47.581896,0.054112827
856,47.599496,0.054132926
857,47.581896,0.054112827
858,47.652294,0.05419322
859,47.353104,0.053851552
860,47.405903,0.053911848
861,47.405903,0.053911848
862,47.441101,0.053952043
863,47.881086,0.054454495
864,47.493899,0.054012337
865,47.793089,0.054354005
866,47.863486,0.054434396
867,47.916284,0.05449469
868,47.652294,0.05419322
869,47.669893,0.054213318
870,47.687493,0.054233416
871,48.03948,0.054635377
872,48.004281,0.054595181
873,47.793089,0.054354005
874,47.863486,0.054434396
875,47.845887,0.054414299
876,48.215474,0.054836358
877,48.109877,0.054715769
878,47.951483,0.054534887
879,47.986682,0.054575083
880,48.004281,0.054595181
881,48.426666,0.055077535
882,48.092278,0.054695671
883,48.092278,0.054695671
884,48.127477,0.054735868
885,48.479464,0.055137829
886,48.197874,0.054816259
887,48.250672,0.054876553
888,48.268272,0.054896652
889,48.268272,0.054896652
890,48.338669,0.054977044
891,48.673057,0.055358907
892,48.743455,0.0554393
893,48.813852,0.055519692
894,48.461865,0.055117731
895,48.86665,0.055579986
896,48.514663,0.055178025
897,48.901849,0.055620183
898,48.58506,0.055258417
899,48.972247,0.055700576
900,48.655458,0.05533881
901,48.655458,0.05533881
902,49.077843,0.055821164
903,49.095442,0.055841262
904,49.14824,0.055901556
905,49.130641,0.055881458
906,48.831452,0.055539791
907,48.88425,0.055600085
908,48.88425,0.055600085
909,49.289035,0.056062341
910,48.954647,0.055680477
911,49.025045,0.05576087
912,49.236237,0.056002047
913,49.482629,0.056283421
914,49.077843,0.055821164
915,49.465029,0.056263322
916,49.482629,0.056283421
917,49.16584,0.055921655
918,49.218638,0.055981949
919,49.236237,0.056002047
920,49.306635,0.05608244
921,49.341834,0.056122636
922,49.676222,0.0565045
923,49.394632,0.05618293
924,49.799417,0.056645186
925,49.817017,0.056665285
926,49.817017,0.056665285
927,49.500228,0.056303519
928,49.905014,0.056765776
929,49.570625,0.056383911
930,49.588225,0.056404009
931,49.869815,0.056725579
932,49.676222,0.0565045
933,49.693821,0.056524598
934,49.72902,0.056564794
935,50.098607,0.056986855
936,50.116206,0.057006953
937,50.098607,0.056986855
938,49.852215,0.05670548
939,50.204203,0.057107444
940,49.887414,0.056745677
941,50.2922,0.057207934
942,49.975411,0.056846168
943,50.362597,0.057288326
944,50.063408,0.056946658
945,50.397796,0.057328523
946,50.133805,0.05702705
947,50.151405,0.057047149
948,50.2746,0.057187835
949,50.503392,0.057449111
950,50.239402,0.05714764
951,50.661787,0.057629995
952,50.644187,0.057609897
953,50.344998,0.057268229
954,50.344998,0.057268229
955,50.415395,0.057348621
956,50.925777,0.057931467
957,50.820181,0.057810878
958,50.485793,0.057429014
959,50.925777,0.057931467
960,50.57379,0.057529505
961,50.57379,0.057529505
962,50.626588,0.057589799
963,50.978576,0.057991762
964,51.048973,0.058072154
965,50.802582,0.057790781
966,51.101771,0.058132449
967,51.119371,0.058152547
968,51.13697,0.058172645
969,51.154569,0.058192743
970,51.312964,0.058373627
971,50.943377,0.057951566
972,50.943377,0.057951566
973,51.242566,0.058293234
974,51.312964,0.058373627
975,51.400961,0.058474118
976,51.066572,0.058092252
977,51.119371,0.058152547
978,51.154569,0.058192743
979,51.207367,0.058253037
980,51.541756,0.058634903
981,51.242566,0.058293234
982,51.295364,0.058353528
983,51.664951,0.05877559
984,51.348162,0.058413823
985,51.365762,0.058433921
986,51.400961,0.058474118
987,51.41856,0.058494216
988,51.471358,0.05855451
989,51.488957,0.058574608
990,51.911343,0.059056965
991,51.559355,0.058655001
992,51.612153,0.058715295
993,51.629753,0.058735394
994,51.840945,0.058976572
995,51.717749,0.058835884
996,51.735349,0.058855983
997,51.752948,0.058876081
998,51.770548,0.05889618
999,52.157734,0.059338339
1000,51.98174,0.059137357
1001,51.911343,0.059056965
1002,51.911343,0.059056965
1003,52.421725,0.059639812
1004,52.245731,0.05943883
1005,52.034538,0.059197651
1006,52.069737,0.059237848
1007,52.368927,0.059579518
1008,52.474523,0.059700107
1009,52.140135,0.059318241
1010,52.474523,0.059700107
1011,52.210532,0.059398634
1012,52.632917,0.05988099
1013,52.28093,0.059479027
1014,52.685715,0.059941284
1015,52.738514,0.06000158
1016,52.720914,0.059981481
1017,52.421725,0.059639812
1018,52.82651,0.06010207
1019,52.984905,0.060282954
1020,52.509722,0.059740303
1021,52.879309,0.060162365
