Point Number , Temperature ,Uncertainty,,,,,
176,55.202427,0.062815331,,,,,
177,55.220027,0.06283543,,,,,
178,54.868039,0.062433465,,,,,
179,55.237626,0.062855528,,,,,
180,55.184828,0.062795233,,,,,
181,54.815241,0.06237317,,,,,
182,54.83284,0.062393268,,,,,
183,54.991235,0.062574153,,,,,
184,54.83284,0.062393268,,,,,
185,55.096831,0.062694742,,,,,
186,54.83284,0.062393268,,,,,
187,54.973635,0.062554054,,,,,
188,54.815241,0.06237317,,,,,
189,54.762443,0.062312875,,,,,
190,55.220027,0.06283543,,,,,
191,55.308024,0.062935921,,,,,
192,54.815241,0.06237317,,,,,
193,55.149629,0.062755036,,,,,
194,54.762443,0.062312875,,,,,
195,55.114431,0.062714841,,,,,
196,54.762443,0.062312875,,,,,
197,54.797642,0.062353072,,,,,
198,54.780042,0.062332973,,,,,
199,55.079232,0.062674644,,,,,
200,54.709645,0.062252581,,,,,
201,54.762443,0.062312875,,,,,
202,55.061632,0.062654545,,,,,
203,55.096831,0.062694742,,,,,
204,55.061632,0.062654545,,,,,
205,55.114431,0.062714841,,,,,
206,54.727244,0.062272679,,,,,
207,54.692045,0.062232482,,,,,
208,54.727244,0.062272679,,,,,
209,55.096831,0.062694742,,,,,
210,54.709645,0.062252581,,,,,
211,55.026434,0.062614349,,,,,
212,54.727244,0.062272679,,,,,
213,54.692045,0.062232482,,,,,
214,54.709645,0.062252581,,,,,
215,55.079232,0.062674644,,,,,
216,54.674446,0.062212384,,,,,
217,55.096831,0.062694742,,,,,
218,54.973635,0.062554054,,,,,
219,54.973635,0.062554054,,,,,
220,54.991235,0.062574153,,,,,
221,55.026434,0.062614349,,,,,
222,54.656846,0.062192285,,,,,
223,55.026434,0.062614349,,,,,
224,54.639247,0.062172187,,,,,
225,54.621648,0.06215209,,,,,
226,54.621648,0.06215209,,,,,
227,54.639247,0.062172187,,,,,
228,54.621648,0.06215209,,,,,
229,54.973635,0.062554054,,,,,
230,54.973635,0.062554054,,,,,
231,54.604048,0.062131991,,,,,
232,54.991235,0.062574153,,,,,
233,54.956036,0.062533956,,,,,
234,55.079232,0.062674644,,,,,
235,54.85044,0.062413367,,,,,
236,54.586449,0.062111893,,,,,
237,54.85044,0.062413367,,,,,
238,54.533651,0.062051598,,,,,
239,54.903238,0.062473661,,,,,
240,54.533651,0.062051598,,,,,
241,54.55125,0.062071696,,,,,
242,54.533651,0.062051598,,,,,
243,54.498452,0.062011402,,,,,
244,54.83284,0.062393268,,,,,
245,54.920837,0.062493759,,,,,
246,54.533651,0.062051598,,,,,
247,54.815241,0.06237317,,,,,
248,54.498452,0.062011402,,,,,
249,54.480853,0.061991304,,,,,
250,54.868039,0.062433465,,,,,
251,54.83284,0.062393268,,,,,
252,54.463253,0.061971205,,,,,
253,54.868039,0.062433465,,,,,
254,54.480853,0.061991304,,,,,
255,54.83284,0.062393268,,,,,
256,54.85044,0.062413367,,,,,
257,54.797642,0.062353072,,,,,
258,54.428054,0.061931008,,,,,
259,54.463253,0.061971205,,,,,
260,54.392856,0.061890812,,,,,
261,54.762443,0.062312875,,,,,
262,54.797642,0.062353072,,,,,
263,54.709645,0.062252581,,,,,
264,54.392856,0.061890812,,,,,
265,54.410455,0.06191091,,,,,
266,54.410455,0.06191091,,,,,
